trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,3,16.861677898424038,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,3,-7.409958920735282,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,13,-5.126685064812929,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,0,-28.091920481021734,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",20,14,-2.091988689316221,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,4,-72.62682181796411,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 2}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,0,-41.9941832990489,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",35,6,-40.07428997948053,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,9.614713220717459,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-10.385380603731265,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,3,-40.947172934335434,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,0,-16.66718889772512,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",30,13,-5.776832104418601,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,3,-7.978478162173034,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,0,11.058525505782708,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",25,7,7.405017137624368,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",25,10,-27.55687589877465,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,0,-18.230599016100882,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,2,-44.24217789490133,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,0,-60.808196226737884,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,2,-57.47138000771744,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,0,-21.717353899320823,"{0: 25, 1: 4, 2: 0, 3: 0, 4: 1}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,12,3.3039773607410443,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.38092482436688185}",30,3,-35.67471975217649,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,15,7.437755151901091,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",30,4,-23.579392538960217,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",35,18,-24.188182353098913,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,0,-4.3520273266916565,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-42.95477695877371,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,3,-25.24308727947113,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,10,-66.05334032798619,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,16,12.556654182455713,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",20,7,-72.7791054050518,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,14,-60.93735719158499,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,3,-14.781776494837786,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,16,7.24268979458288,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.25785003253266964}",30,19,3.36335904060984,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,14,18.289632568748544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,13,-19.255127115901818,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,7,-1.8597945283093467,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,2,0.3900298409067533,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,0,-49.85130063596696,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,14,13.374805109328125,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,7,14.62046058426261,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",25,14,16.516287378339392,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,11,-9.11114164522892,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,17,1.151227395686091,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",20,2,28.966101622554703,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,14,8.606146726624436,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",30,16,7.548158622384753,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.12050276936736662}",25,12,23.813146839332155,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006959}",20,6,6.88779413320794,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693173}",25,15,18.974511042398653,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430968}",30,4,31.55841530787451,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480063}",25,3,34.506199147942,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",30,13,29.514365145665902,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,5,22.434333133973322,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,9,23.159053436924026,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",35,9,32.30836202481358,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.03079145908246612}",30,19,19.98397854976194,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.020794827803092428}",35,17,25.78286686681355,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",25,7,29.39714360777122,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",25,6,33.046706718503636,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,7,23.431153184530316,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,18,11.343465424488326,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,8,21.403644472967944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,14,8.840127132441614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,2,29.29475874251114,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,15,16.86424046858216,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,8,29.13862130946966,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,6,22.87692278586347,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,11,25.008486853798093,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,19,34.91233771005019,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.0, 'e': 0.0}",20,5,31.027331513314117,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.0, 'e': 0.0}",25,13,20.57634494979066,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.0, 'e': 0.0}",20,16,7.444056069019659,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.0, 'e': 0.0}",20,0,30.306911386645385,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0.0, 'e': 0.0}",25,17,16.80393561167316,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.0, 'e': 0.0}",20,8,24.15886829224752,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.0, 'e': 0.0}",30,13,26.18977202716704,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.0, 'e': 0.0}",30,18,20.675264989296654,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.0, 'e': 0.0}",25,12,21.12348761225501,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0.0, 'e': 0.0}",25,0,38.470020606902246,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0.0, 'e': 0.0}",30,17,23.012535001863903,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0.0, 'e': 0.0}",25,16,12.919975340564136,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.0, 'e': 0.0}",25,10,23.914076972596067,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.0, 'e': 0.0}",20,8,24.15722184476573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.0, 'e': 0.0}",20,8,18.403939116782855,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.0, 'e': 0.0}",25,1,41.47547296684408,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.0, 'e': 0.0}",25,14,20.306311690428068,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.0, 'e': 0.0}",20,6,23.55068054073258,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0.0, 'e': 0.0}",20,8,19.579682604294472,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.0, 'e': 0.0}",20,10,16.491147380653857,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0.0, 'e': 0.0}",25,14,18.780566728205574,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0.0, 'e': 0.0}",20,0,30.681271749932087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0.0, 'e': 0.0}",25,5,32.05078286611926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.0, 'e': 0.0}",20,5,29.77691270544957,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.0, 'e': 0.0}",30,16,20.30245760008849,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.0, 'e': 0.0}",25,15,17.746533075310694,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",20,10,16.777483484798385,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0.0, 'e': 0.0}",20,8,20.228671344442045,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0.0, 'e': 0.0}",20,5,27.582662629951763,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0.0, 'e': 0.0}",20,16,7.53932639663591,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0.0, 'e': 0.0}",25,14,23.112610956501275,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0.0, 'e': 0.0}",25,9,25.75449241150239,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0.0, 'e': 0.0}",25,14,18.698463781019374,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0.0, 'e': 0.0}",20,4,24.98793203748152,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0.0, 'e': 0.0}",25,17,13.287157939195911,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0.0, 'e': 0.0}",20,3,22.678740819556488,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0.0, 'e': 0.0}",25,13,19.41573559639678,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0.0, 'e': 0.0}",20,2,27.388605080097616,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0.0, 'e': 0.0}",25,15,17.26299301715185,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0.0, 'e': 0.0}",20,2,23.638560797840462,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0.0, 'e': 0.0}",25,11,23.7316831983633,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'a': 0.0, 'e': 0.0}",25,6,26.602887050984208,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0.0, 'e': 0.0}",25,13,20.344688103511935,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
